"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6","C","~","Capacitor_SMD:C_0402_1005Metric","6",""
"J1","Conn_01x04_Socket","~","custom:SMD_2.54_1x04_LONG","1",""
"J2","Conn_01x04_Pin","~","custom:SMD_2.54_1x04_SHORT","1",""
"R1,R2","R","~","Resistor_SMD:R_0402_1005Metric","2",""
"SW1","BOOT0","~","custom:PTS636","1",""
"SW2","UP","~","custom:PTS636","1",""
"SW3","CENTER","~","custom:PTS636","1",""
"SW4","DOWN","~","custom:PTS636","1",""
"TP1","SWDIO","~","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP2","SWCLK","~","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP3","BATT","~","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP4","GND","~","TestPoint:TestPoint_Pad_D1.5mm","1",""
"U1","STM32U083KCUx","https://www.st.com/resource/en/datasheet/stm32u083kc.pdf","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","1",""
"U2,U3","~","","Package_TO_SOT_SMD:SOT-23-5","2",""
"U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18","HCMS2901","","custom:HCMS2901_SMD","14",""
